timestamp,switch,source_ip,destination_ip,input_port,output_port,packet_count,byte_count,duration
2026-08-17 14:20:26,1,N/A,N/A,2,1,2,196,0
2026-08-17 14:20:26,1,N/A,N/A,1,2,1,98,0
2026-08-17 14:20:26,1,N/A,N/A,3,1,1,98,0
2026-08-17 14:20:26,1,N/A,N/A,1,3,0,0,0
2026-08-17 14:20:26,1,N/A,N/A,3,2,1,98,0
2026-08-17 14:20:26,1,N/A,N/A,2,3,0,0,0
2026-08-17 14:20:31,1,N/A,N/A,2,1,3,238,5
2026-08-17 14:20:31,1,N/A,N/A,1,2,2,140,5
2026-08-17 14:20:31,1,N/A,N/A,3,1,3,238,5
2026-08-17 14:20:31,1,N/A,N/A,1,3,2,140,5
2026-08-17 14:20:31,1,N/A,N/A,3,2,2,196,5
2026-08-17 14:20:31,1,N/A,N/A,2,3,2,140,5
2026-08-17 14:20:36,1,N/A,N/A,2,1,3,238,10
2026-08-17 14:20:36,1,N/A,N/A,1,2,2,140,10
2026-08-17 14:20:36,1,N/A,N/A,3,1,3,238,10
2026-08-17 14:20:36,1,N/A,N/A,1,3,2,140,10
2026-08-17 14:20:36,1,N/A,N/A,3,2,3,238,10
2026-08-17 14:20:36,1,N/A,N/A,2,3,2,140,10
2026-08-17 14:20:41,1,N/A,N/A,2,1,3,238,15
2026-08-17 14:20:41,1,N/A,N/A,1,2,2,140,15
2026-08-17 14:20:41,1,N/A,N/A,3,1,3,238,15
2026-08-17 14:20:41,1,N/A,N/A,1,3,2,140,15
2026-08-17 14:20:41,1,N/A,N/A,3,2,3,238,15
2026-08-17 14:20:41,1,N/A,N/A,2,3,2,140,15
2026-08-17 14:20:46,1,N/A,N/A,2,1,7,630,20
2026-08-17 14:20:46,1,N/A,N/A,1,2,6,532,20
2026-08-17 14:20:46,1,N/A,N/A,3,1,3,238,20
2026-08-17 14:20:46,1,N/A,N/A,1,3,2,140,20
2026-08-17 14:20:46,1,N/A,N/A,3,2,3,238,20
2026-08-17 14:20:46,1,N/A,N/A,2,3,2,140,20
2026-08-17 14:20:51,1,N/A,N/A,2,1,12,1120,25
2026-08-17 14:20:51,1,N/A,N/A,1,2,11,1022,25
2026-08-17 14:20:51,1,N/A,N/A,3,1,3,238,25
2026-08-17 14:20:51,1,N/A,N/A,1,3,2,140,25
2026-08-17 14:20:51,1,N/A,N/A,3,2,3,238,25
2026-08-17 14:20:51,1,N/A,N/A,2,3,2,140,25
2026-08-17 14:20:56,1,N/A,N/A,2,1,17,1610,30
2026-08-17 14:20:56,1,N/A,N/A,1,2,16,1512,30
2026-08-17 14:20:56,1,N/A,N/A,3,1,3,238,30
2026-08-17 14:20:56,1,N/A,N/A,1,3,2,140,30
2026-08-17 14:20:56,1,N/A,N/A,3,2,3,238,30
2026-08-17 14:20:56,1,N/A,N/A,2,3,2,140,30
2026-08-17 14:21:01,1,N/A,N/A,2,1,22,2100,35
2026-08-17 14:21:01,1,N/A,N/A,1,2,21,2002,35
2026-08-17 14:21:01,1,N/A,N/A,3,1,3,238,35
2026-08-17 14:21:01,1,N/A,N/A,1,3,2,140,35
2026-08-17 14:21:01,1,N/A,N/A,3,2,3,238,35
2026-08-17 14:21:01,1,N/A,N/A,2,3,2,140,35
2026-08-17 14:21:06,1,N/A,N/A,2,1,24,2240,40
2026-08-17 14:21:06,1,N/A,N/A,1,2,23,2142,40
2026-08-17 14:21:06,1,N/A,N/A,3,1,3,238,40
2026-08-17 14:21:06,1,N/A,N/A,1,3,2,140,40
2026-08-17 14:21:06,1,N/A,N/A,3,2,3,238,40
2026-08-17 14:21:06,1,N/A,N/A,2,3,2,140,40
2026-08-17 14:21:11,1,N/A,N/A,2,1,24,2240,45
2026-08-17 14:21:11,1,N/A,N/A,1,2,23,2142,45
2026-08-17 14:21:11,1,N/A,N/A,3,1,3,238,45
2026-08-17 14:21:11,1,N/A,N/A,1,3,2,140,45
2026-08-17 14:21:11,1,N/A,N/A,3,2,3,238,45
2026-08-17 14:21:11,1,N/A,N/A,2,3,2,140,45
2026-08-17 14:21:16,1,N/A,N/A,2,1,24,2240,50
2026-08-17 14:21:16,1,N/A,N/A,1,2,23,2142,50
2026-08-17 14:21:16,1,N/A,N/A,3,1,3,238,50
2026-08-17 14:21:16,1,N/A,N/A,1,3,2,140,50
2026-08-17 14:21:16,1,N/A,N/A,3,2,4,336,50
2026-08-17 14:21:16,1,N/A,N/A,2,3,3,238,50
2026-08-17 14:21:21,1,N/A,N/A,2,1,24,2240,55
2026-08-17 14:21:21,1,N/A,N/A,1,2,23,2142,55
2026-08-17 14:21:21,1,N/A,N/A,3,1,3,238,55
2026-08-17 14:21:21,1,N/A,N/A,1,3,2,140,55
2026-08-17 14:21:21,1,N/A,N/A,3,2,11,910,55
2026-08-17 14:21:21,1,N/A,N/A,2,3,10,812,55
2026-08-17 14:21:26,1,N/A,N/A,2,1,24,2240,60
2026-08-17 14:21:26,1,N/A,N/A,1,2,23,2142,60
2026-08-17 14:21:26,1,N/A,N/A,3,1,3,238,60
2026-08-17 14:21:26,1,N/A,N/A,1,3,2,140,60
2026-08-17 14:21:26,1,N/A,N/A,3,2,16,1400,60
2026-08-17 14:21:26,1,N/A,N/A,2,3,15,1302,60
2026-08-17 14:21:31,1,N/A,N/A,2,1,24,2240,65
2026-08-17 14:21:31,1,N/A,N/A,1,2,23,2142,65
2026-08-17 14:21:31,1,N/A,N/A,3,1,3,238,65
2026-08-17 14:21:31,1,N/A,N/A,1,3,2,140,65
2026-08-17 14:21:31,1,N/A,N/A,3,2,21,1890,65
2026-08-17 14:21:31,1,N/A,N/A,2,3,20,1792,65
2026-08-17 14:21:36,1,N/A,N/A,2,1,24,2240,70
2026-08-17 14:21:36,1,N/A,N/A,1,2,23,2142,70
2026-08-17 14:21:36,1,N/A,N/A,3,1,3,238,70
2026-08-17 14:21:36,1,N/A,N/A,1,3,2,140,70
2026-08-17 14:21:36,1,N/A,N/A,3,2,25,2282,70
2026-08-17 14:21:36,1,N/A,N/A,2,3,24,2184,70
